品名コード,品名漢字,カテゴリ_ブランド_,シリーズ,付加価値品フラグ,会社_文字型_,Primary_key,ソート
42807,ＱＰ３分　蒸し煮用ソース　だし＆オリーブ,キユーピー3分クッキング,グロッサリー,対象,11,11_42807,210
33750,ＱＰ３分　炒めてパラッと！チャーハンの素,キユーピー3分クッキング,グロッサリー,対象,11,11_33750,210
41093,ＱＰ３分クッキング　ごま和えの素,キユーピー3分クッキング,グロッサリー,対象,11,11_41093,210
41101,ＱＰ３分クッキング　ナムルの素,キユーピー3分クッキング,グロッサリー,対象,11,11_41101,210
41099,ＱＰ３分クッキング　ピーナッツ和えの素,キユーピー3分クッキング,グロッサリー,対象,11,11_41099,210
41095,ＱＰ３分クッキング　からし和えの素,キユーピー3分クッキング,グロッサリー,対象,11,11_41095,210
62888,ＱＰ３分　炒めてパラッと！チャーハンの素,キユーピー3分クッキング,グロッサリー,対象,11,11_62888,210
47105,ＱＰ３分蒸し煮用アンチョビーガーリック味,キユーピー3分クッキング,グロッサリー,対象,11,11_47105,210
47106,ＱＰ３分蒸し煮用ゆず香るかつおだし味,キユーピー3分クッキング,グロッサリー,対象,11,11_47106,210
47119,ＱＰ３分蒸し煮用ハーブ＆ガーリック味,キユーピー3分クッキング,グロッサリー,対象,11,11_47119,210
56528,ＱＰ３分クッキング　ピーナッツ和え用,キユーピー3分クッキング,グロッサリー,対象,11,11_56528,210
56527,ＱＰ３分クッキング　からし和え用,キユーピー3分クッキング,グロッサリー,対象,11,11_56527,210
56529,ＱＰ３分クッキング　ナムル用,キユーピー3分クッキング,グロッサリー,対象,11,11_56529,210
56526,ＱＰ３分クッキング　ごま和え用,キユーピー3分クッキング,グロッサリー,対象,11,11_56526,210
47103,ＱＰ３分蒸し煮用ソースレモン香る塩麹味,キユーピー3分クッキング,グロッサリー,対象,11,11_47103,210
55031,ＱＰ３分蒸し煮用アンチョビー＆ガーリック,キユーピー3分クッキング,グロッサリー,対象,11,11_55031,210
55032,ＱＰ３分　蒸し煮用ソース　ライム＆バター,キユーピー3分クッキング,グロッサリー,対象,11,11_55032,210
15250,蒸し煮用ソースレモン香る塩麹味（試供品）,キユーピー3分クッキング,グロッサリー,対象,11,11_15250,210
54244,ＱＰ３分　野菜をたべよう！白湯スープの素,キユーピー3分クッキング,グロッサリー,対象,11,11_54244,210
56113,ＱＰ３分　野菜をたべよう！ミネストローネ,キユーピー3分クッキング,グロッサリー,対象,11,11_56113,210
56114,ＱＰ３分　野菜をたべよう！チャウダーの素,キユーピー3分クッキング,グロッサリー,対象,11,11_56114,210
56115,ＱＰ３分　野菜をたべよう！和風スープの素,キユーピー3分クッキング,グロッサリー,対象,11,11_56115,210
42312,ＱＰ３分　野菜をたべよう！和風スープの素,キユーピー3分クッキング,グロッサリー,対象,11,11_42312,210
42314,ＱＰ３分　野菜をたべよう！ミネストローネ,キユーピー3分クッキング,グロッサリー,対象,11,11_42314,210
42315,ＱＰ３分　野菜をたべよう！チャウダーの素,キユーピー3分クッキング,グロッサリー,対象,11,11_42315,210
